id,l1_v1,iou_v1,fp_iou_v1,l1_v2-final,iou_v2-final,fp_iou_v2-final,l1_v2-best,iou_v2-best,fp_iou_v2-best
RESIDENTIALhouse_mesh1238,0.08909475058317184,0.10854092240333557,0.2730769217014313,0.005242346785962582,0.07585139572620392,0.24528302252292633,0.005242346785962582,0.07585139572620392,0.24528302252292633
RELIGIOUSmosque_mesh0089,0.08259616792201996,0.1493370532989502,0.1160130724310875,0.006654133554548025,0.2204330861568451,0.13507625460624695,0.006654133554548025,0.2204330861568451,0.13507625460624695
RESIDENTIALhouse_mesh2108,0.08400728553533554,0.429776668548584,0.7058823704719543,0.0074790967628359795,0.22283725440502167,0.631441056728363,0.0074790967628359795,0.22283725440502167,0.631441056728363
RESIDENTIALvilla_mesh2082,0.08866522461175919,0.5643015503883362,0.44034090638160706,0.006346362642943859,0.4753885865211487,0.5447154641151428,0.006346362642943859,0.4753885865211487,0.5447154641151428
RESIDENTIALhouse_mesh0658,0.08675093948841095,0.1780346781015396,0.34860557317733765,0.0053567420691251755,0.05986260995268822,0.2818991243839264,0.0053567420691251755,0.05986260995268822,0.2818991243839264
RESIDENTIALhouse_mesh1056,0.08274292200803757,0.5750337839126587,0.7806451320648193,0.006847836077213287,0.350475013256073,0.7687007784843445,0.006847836077213287,0.350475013256073,0.7687007784843445
RESIDENTIALhouse_mesh8400,0.09729813039302826,0.30888888239860535,0.4750957787036896,0.003543755505234003,0.14413075149059296,0.4047619104385376,0.003543755505234003,0.14413075149059296,0.4047619104385376
RESIDENTIALhouse_mesh2015,0.0892985612154007,0.7587301731109619,0.7558578848838806,0.005752137862145901,0.3411445617675781,0.836200475692749,0.005752137862145901,0.3411445617675781,0.836200475692749
COMMERCIALcity_hall_mesh0106,0.09258037805557251,0.8392189741134644,0.6912928819656372,0.004968329798430204,0.6668127775192261,0.7269737124443054,0.004968329798430204,0.6668127775192261,0.7269737124443054
RESIDENTIALoffice_building_mesh0952,0.08785945922136307,0.9417475461959839,0.9040816426277161,0.004717255011200905,0.8560044169425964,0.930672287940979,0.004717255011200905,0.8560044169425964,0.930672287940979
RESIDENTIALvilla_mesh3488,0.07152412831783295,0.564334511756897,0.8814159035682678,0.010314783081412315,0.3702978193759918,0.9280104637145996,0.010314783081412315,0.3702978193759918,0.9280104637145996
RESIDENTIALhouse_mesh9492,0.08682674169540405,0.6627451181411743,0.9609929323196411,0.0061870599165558815,0.3117816150188446,0.9431034326553345,0.0061870599165558815,0.3117816150188446,0.9431034326553345
RESIDENTIALhouse_mesh3490,0.08302147686481476,0.1465732902288437,0.2507970333099365,0.006851545535027981,0.10393106937408447,0.35254988074302673,0.006851545535027981,0.10393106937408447,0.35254988074302673
RESIDENTIALhouse_mesh4225,0.08425091207027435,0.16700610518455505,0.306772917509079,0.007278971374034882,0.09495548903942108,0.30718955397605896,0.007278971374034882,0.09495548903942108,0.30718955397605896
RELIGIOUStemple_mesh1519,0.07460767030715942,0.932945728302002,0.9285004734992981,0.008328305557370186,0.8921804428100586,0.9468845725059509,0.008328305557370186,0.8921804428100586,0.9468845725059509
RESIDENTIALhouse_mesh4362,0.08893153071403503,0.10730388015508652,0.24817518889904022,0.005192725919187069,0.03599373996257782,0.16320474445819855,0.005192725919187069,0.03599373996257782,0.16320474445819855
