index,osm_id,class,area_m2,height_m,retrieved_id,retrieval_policy,retrieval_top_k,asset_format,sdf_style,sdf_resolution,sdf_seed,sdf_vqvae_prior,conditioning_source,retrieval_candidates,sdf_obj,canonical_view_png,placed_render_png,n_verts,n_faces,sdf_seconds
0,OSM_955677965,RESIDENTIALhouse,1095.33,7.00,RESIDENTIALhouse_mesh2592,rerank,5,sdf_procedural,victorian,96,20260514,True,retrieved,"[{'rank': 1, 'candidate_id': 'RESIDENTIALhouse_mesh8138', 'retrieval_score': 0.9800029993057251, 'rerank_score': 0.881399953355458, 'target_aspect': 2.6874723548282997, 'candidate_aspect': 1.073408141391605, 'target_height_ratio': 0.12313138964431898, 'candidate_height_ratio': 0.43370081307439934, 'aspect_penalty': 0.9177623414171695, 'height_penalty': 1.2591029318446814, 'candidate_verts': 125670, 'candidate_faces': 41890, 'chosen': 0}, {'rank': 2, 'candidate_id': 'RESIDENTIALhouse_mesh3714', 'retrieval_score': 0.9798339605331421, 'rerank_score': 0.9175322621902067, 'target_aspect': 2.6874723548282997, 'candidate_aspect': 1.7970285636352785, 'target_height_ratio': 0.12313138964431898, 'candidate_height_ratio': 0.5547238902960792, 'aspect_penalty': 0.402466603972033, 'height_penalty': 1.5052185012586365, 'candidate_verts': 40008, 'candidate_faces': 13336, 'chosen': 0}, {'rank': 3, 'candidate_id': 'RESIDENTIALhouse_mesh9582', 'retrieval_score': 0.9773836135864258, 'rerank_score': 0.904370468428181, 'target_aspect': 2.6874723548282997, 'candidate_aspect': 1.4718463383110916, 'target_height_ratio': 0.12313138964431898, 'candidate_height_ratio': 0.4264842018398125, 'aspect_penalty': 0.6020834817019735, 'height_penalty': 1.2423233311043438, 'candidate_verts': 51573, 'candidate_faces': 17191, 'chosen': 0}, {'rank': 4, 'candidate_id': 'RESIDENTIALhouse_mesh4264', 'retrieval_score': 0.9747757911682129, 'rerank_score': 0.9114291278505018, 'target_aspect': 2.6874723548282997, 'candidate_aspect': 1.6562009419152275, 'target_height_ratio': 0.12313138964431898, 'candidate_height_ratio': 0.42169668246445496, 'aspect_penalty': 0.4840747164873542, 'height_penalty': 1.2310342999361397, 'candidate_verts': 63075, 'candidate_faces': 21025, 'chosen': 0}, {'rank': 5, 'candidate_id': 'RESIDENTIALhouse_mesh2592', 'retrieval_score': 0.9725126624107361, 'rerank_score': 0.9181244774367807, 'target_aspect': 2.6874723548282997, 'candidate_aspect': 1.778598251525092, 'target_height_ratio': 0.12313138964431898, 'candidate_height_ratio': 0.3583675138425846, 'aspect_penalty': 0.41277555190490756, 'height_penalty': 1.0683070410781352, 'candidate_verts': 35424, 'candidate_faces': 11808, 'chosen': 1}]",outputs/osm_sdf_east4_victorian_vqvae/hunyuan_simplified/00_OSM_955677965_RESIDENTIALhouse_mesh2592_sdf_victorian.obj,outputs/osm_sdf_east4_victorian_vqvae/hunyuan_inputs/00_OSM_955677965_RESIDENTIALhouse_mesh2592_sdf_canonical.png,outputs/osm_sdf_east4_victorian_vqvae/renders/00_OSM_955677965_RESIDENTIALhouse_mesh2592_sdf_placed.png,3330,6648,1.75
1,OSM_955677968,RESIDENTIALhouse,981.10,7.00,RESIDENTIALhouse_mesh5258,rerank,5,sdf_procedural,victorian,96,20260515,True,retrieved,"[{'rank': 1, 'candidate_id': 'RESIDENTIALhouse_mesh5258', 'retrieval_score': 0.994949221611023, 'rerank_score': 0.9666544116429012, 'target_aspect': 1.3696913989326813, 'candidate_aspect': 1.5419570976250265, 'target_height_ratio': 0.14297748964110682, 'candidate_height_ratio': 0.3663392165046807, 'aspect_penalty': 0.1184669939897041, 'height_penalty': 0.9408725224472753, 'candidate_verts': 26907, 'candidate_faces': 8969, 'chosen': 1}, {'rank': 2, 'candidate_id': 'RESIDENTIALhouse_mesh4123', 'retrieval_score': 0.9947716593742371, 'rerank_score': 0.9636709705242485, 'target_aspect': 1.3696913989326813, 'candidate_aspect': 1.5070832914699084, 'target_height_ratio': 0.14297748964110682, 'candidate_height_ratio': 0.461904761904762, 'aspect_penalty': 0.09559072962576765, 'height_penalty': 1.172671523996356, 'candidate_verts': 386253, 'candidate_faces': 128751, 'chosen': 0}, {'rank': 3, 'candidate_id': 'RESIDENTIALhouse_mesh0642', 'retrieval_score': 0.9931216835975647, 'rerank_score': 0.9571199585509523, 'target_aspect': 1.3696913989326813, 'candidate_aspect': 1.2890706685528015, 'target_height_ratio': 0.14297748964110682, 'candidate_height_ratio': 0.6786583329357317, 'aspect_penalty': 0.060663911434911275, 'height_penalty': 1.5574306065909678, 'candidate_verts': 37425, 'candidate_faces': 12475, 'chosen': 0}, {'rank': 4, 'candidate_id': 'RESIDENTIALhouse_mesh1146', 'retrieval_score': 0.9930369257926941, 'rerank_score': 0.9658556920773415, 'target_aspect': 1.3696913989326813, 'candidate_aspect': 1.4733727810650887, 'target_height_ratio': 0.14297748964110682, 'candidate_height_ratio': 0.4156626506024096, 'aspect_penalty': 0.07296872332911815, 'height_penalty': 1.0671867924511576, 'candidate_verts': 60243, 'candidate_faces': 20081, 'chosen': 0}, {'rank': 5, 'candidate_id': 'RESIDENTIALhouse_mesh9153', 'retrieval_score': 0.992753803730011, 'rerank_score': 0.9611156939236076, 'target_aspect': 1.3696913989326813, 'candidate_aspect': 1.1730041088197847, 'target_height_ratio': 0.14297748964110682, 'candidate_height_ratio': 0.3741000033179601, 'aspect_penalty': 0.15501738571714638, 'height_penalty': 0.9618359474515847, 'candidate_verts': 28938, 'candidate_faces': 9646, 'chosen': 0}]",outputs/osm_sdf_east4_victorian_vqvae/hunyuan_simplified/01_OSM_955677968_RESIDENTIALhouse_mesh5258_sdf_victorian.obj,outputs/osm_sdf_east4_victorian_vqvae/hunyuan_inputs/01_OSM_955677968_RESIDENTIALhouse_mesh5258_sdf_canonical.png,outputs/osm_sdf_east4_victorian_vqvae/renders/01_OSM_955677968_RESIDENTIALhouse_mesh5258_sdf_placed.png,5496,10976,0.10
2,OSM_955889857,RESIDENTIALhouse,874.18,7.00,RESIDENTIALhouse_mesh4858,rerank,5,sdf_procedural,victorian,96,20260516,True,retrieved,"[{'rank': 1, 'candidate_id': 'RESIDENTIALhouse_mesh9516', 'retrieval_score': 0.9895722270011902, 'rerank_score': 0.8815523597547976, 'target_aspect': 3.4014040973349906, 'candidate_aspect': 1.1725568394252852, 'target_height_ratio': 0.12500252861895614, 'candidate_height_ratio': 0.3912398710376208, 'aspect_penalty': 1.0650016188928662, 'height_penalty': 1.1409868867481605, 'candidate_verts': 30159, 'candidate_faces': 10053, 'chosen': 0}, {'rank': 2, 'candidate_id': 'RESIDENTIALhouse_mesh4858', 'retrieval_score': 0.9886576533317566, 'rerank_score': 0.9083154891028996, 'target_aspect': 3.4014040973349906, 'candidate_aspect': 1.8946181818181815, 'target_height_ratio': 0.12500252861895614, 'candidate_height_ratio': 0.6683140762350774, 'aspect_penalty': 0.5851709851120274, 'height_penalty': 1.6764242709947415, 'candidate_verts': 144309, 'candidate_faces': 48103, 'chosen': 1}, {'rank': 3, 'candidate_id': 'RESIDENTIALhouse_mesh3518', 'retrieval_score': 0.9817805290222168, 'rerank_score': 0.9072485520298041, 'target_aspect': 3.4014040973349906, 'candidate_aspect': 1.8993710691823902, 'target_height_ratio': 0.12500252861895614, 'candidate_height_ratio': 0.5048547739479585, 'aspect_penalty': 0.582665501023326, 'height_penalty': 1.3959368455273307, 'candidate_verts': 67758, 'candidate_faces': 22586, 'chosen': 0}, {'rank': 4, 'candidate_id': 'RESIDENTIALhouse_mesh8138', 'retrieval_score': 0.9811010360717773, 'rerank_score': 0.8639526528196065, 'target_aspect': 3.4014040973349906, 'candidate_aspect': 1.073408141391605, 'target_height_ratio': 0.12500252861895614, 'candidate_height_ratio': 0.43370081307439934, 'aspect_penalty': 1.1533495507697762, 'height_penalty': 1.2440209595294347, 'candidate_verts': 125670, 'candidate_faces': 41890, 'chosen': 0}, {'rank': 5, 'candidate_id': 'RESIDENTIALhouse_mesh2592', 'retrieval_score': 0.9809597730636597, 'rerank_score': 0.9080262507878007, 'target_aspect': 3.4014040973349906, 'candidate_aspect': 1.778598251525092, 'target_height_ratio': 0.12500252861895614, 'candidate_height_ratio': 0.3583675138425846, 'aspect_penalty': 0.6483627612575142, 'height_penalty': 1.0532250687628884, 'candidate_verts': 35424, 'candidate_faces': 11808, 'chosen': 0}]",outputs/osm_sdf_east4_victorian_vqvae/hunyuan_simplified/02_OSM_955889857_RESIDENTIALhouse_mesh4858_sdf_victorian.obj,outputs/osm_sdf_east4_victorian_vqvae/hunyuan_inputs/02_OSM_955889857_RESIDENTIALhouse_mesh4858_sdf_canonical.png,outputs/osm_sdf_east4_victorian_vqvae/renders/02_OSM_955889857_RESIDENTIALhouse_mesh4858_sdf_placed.png,2648,5288,0.09
3,OSM_955677971,RESIDENTIALhouse,760.52,7.00,RESIDENTIALhouse_mesh5503,rerank,5,sdf_procedural,victorian,96,20260517,True,retrieved,"[{'rank': 1, 'candidate_id': 'RESIDENTIALhouse_mesh5503', 'retrieval_score': 0.992821216583252, 'rerank_score': 0.968475125537966, 'target_aspect': 1.1357686925002144, 'candidate_aspect': 1.0670110209617556, 'target_height_ratio': 0.14955818548673408, 'candidate_height_ratio': 0.393545440706348, 'aspect_penalty': 0.062448382619472935, 'height_penalty': 0.9675110217864022, 'candidate_verts': 25623, 'candidate_faces': 8541, 'chosen': 1}, {'rank': 2, 'candidate_id': 'RESIDENTIALhouse_mesh2714', 'retrieval_score': 0.9914841651916504, 'rerank_score': 0.9560901739691711, 'target_aspect': 1.1357686925002144, 'candidate_aspect': 1.2222222222222223, 'target_height_ratio': 0.14955818548673408, 'candidate_height_ratio': 0.6545454545454545, 'aspect_penalty': 0.0733610116525478, 'height_penalty': 1.4762555145137737, 'candidate_verts': 31029, 'candidate_faces': 10343, 'chosen': 0}, {'rank': 3, 'candidate_id': 'RESIDENTIALhouse_mesh8951', 'retrieval_score': 0.9868053197860718, 'rerank_score': 0.9598155103001597, 'target_aspect': 1.1357686925002144, 'candidate_aspect': 1.1071602532878713, 'target_height_ratio': 0.14955818548673408, 'candidate_height_ratio': 0.5206775186977562, 'aspect_penalty': 0.025511276975993955, 'height_penalty': 1.24744536639163, 'candidate_verts': 138630, 'candidate_faces': 46210, 'chosen': 0}, {'rank': 4, 'candidate_id': 'RESIDENTIALhouse_mesh2487', 'retrieval_score': 0.9856685400009155, 'rerank_score': 0.9654629649485523, 'target_aspect': 1.1357686925002144, 'candidate_aspect': 1.2098348140148711, 'target_height_ratio': 0.14955818548673408, 'candidate_height_ratio': 0.3190244270774342, 'aspect_penalty': 0.06317414913662377, 'height_penalty': 0.7575821560716621, 'candidate_verts': 138993, 'candidate_faces': 46331, 'chosen': 0}, {'rank': 5, 'candidate_id': 'RESIDENTIALhouse_mesh0642', 'retrieval_score': 0.9847825169563293, 'rerank_score': 0.944404922085476, 'target_aspect': 1.1357686925002144, 'candidate_aspect': 1.2890706685528015, 'target_height_ratio': 0.14955818548673408, 'candidate_height_ratio': 0.6786583329357317, 'aspect_penalty': 0.12661186296800117, 'height_penalty': 1.512432291670661, 'candidate_verts': 37425, 'candidate_faces': 12475, 'chosen': 0}]",outputs/osm_sdf_east4_victorian_vqvae/hunyuan_simplified/03_OSM_955677971_RESIDENTIALhouse_mesh5503_sdf_victorian.obj,outputs/osm_sdf_east4_victorian_vqvae/hunyuan_inputs/03_OSM_955677971_RESIDENTIALhouse_mesh5503_sdf_canonical.png,outputs/osm_sdf_east4_victorian_vqvae/renders/03_OSM_955677971_RESIDENTIALhouse_mesh5503_sdf_placed.png,5731,11446,0.10
